base,target,literal,tags/0,tags/1,tags/2,tags/3,tags/4
to be,être,1,verb,to be,,,
i am,je suis,1,verb,to be,,,
you are (informal),tu es,1,verb,to be,,,
"he is, it is",il est,1,verb,to be,,,
she is,elle est,1,verb,to be,,,
we are,nous sommes,1,verb,to be,,,
you are (formal),vous êtes,1,verb,to be,,,
"they are (male, mixed)",ils sont,1,verb,to be,,,
they are (female),elles sont,1,verb,to be,,,
to have,avoir,1,verb,to have,,,
i have,j'ai,1,verb,to have,,,
you have (informal),tu as,1,verb,to have,,,
"he has, it has",il a,1,verb,to have,,,
she has,elle a,1,verb,to have,,,
we have,nous avons,1,verb,to have,,,
you have (formal),vous avez,1,verb,to have,,,
"they have (male, mixed)",ils ont,1,verb,to have,,,
they are (female),elle ont,1,verb,to have,,,
to be able (can),pouvoir,1,verb,to be able,,,
i can,je peux,1,verb,to be able,,,
you can (informal),tu peux,1,verb,to be able,,,
he can,il peut,1,verb,to be able,,,
she can,elle peut,1,verb,to be able,,,
we can,nous pouvons,1,verb,to be able,,,
you can (formal),vous pouvez,1,verb,to be able,,,
"they can (male, mixed)",ils peuvent,1,verb,to be able,,,
they can (female),elles peuvent,1,verb,to be able,,,
"to do, to make",faire,1,verb,to do or make,,,
I do,je fais,1,verb,to do or make,,,
you do (informal),tu fais,1,verb,to do or make,,,
he does,il fait,1,verb,to do or make,,,
she does,elle fait,1,verb,to do or make,,,
we do,nous faisons,1,verb,to do or make,,,
you do (formal),vous faites,1,verb,to do or make,,,
"they do (male, mixed)",ils font,1,verb,to do or make,,,
they do (female),elles font,1,verb,to do or make,,,
"to put, to place",mettre ,1,verb,to put or place,,,
I put,je mets,1,verb,to put or place,,,
you put (informal),tu mets,1,verb,to put or place,,,
he puts,il met,1,verb,to put or place,,,
she puts,elle met,1,verb,to put or place,,,
we put,nous mettons,1,verb,to put or place,,,
you put (formal),vous mettez,1,verb,to put or place,,,
"they put (male, mixed)",ils mettent,1,verb,to put or place,,,
"they put (female, mixed)",elles mettent,1,verb,to put or place,,,
"to say, to tell",dire,1,verb,to say or tell,,,
I say,je dis,1,verb,to say or tell,,,
you say (informal),tu dis,1,verb,to say or tell,,,
he say,il dit,1,verb,to say or tell,,,
she says,elle dit,1,verb,to say or tell,,,
we say,nous disons,1,verb,to say or tell,,,
you say (formal),vous dites,1,verb,to say or tell,,,
"they say (male, mixed)",ils disent,1,verb,to say or tell,,,
they say (female),elles disent,1,verb,to say or tell,,,
"to have to, must, to owe",devoir,1,verb,to have to,,,
