"Je ne sais pas", "I don't know"
"Je ne comprends pas", "I don't understand"
"Je voudrais prendre un verre", "I would like a drink"
"Un deux trois quatre", "One two three four"
"Cinq six sept huit", "Five six seven eight"
"Je ne parle pas français", "I don't speak French"
"Pouvez vous parler plus lentement, s'il vous plait", "Can you speak more slowly, please"
"Pouvez-vous répéter, s'il vous plaît", "Can you repeat that, please"
"S'il vous plaît, je cherche l'eglise", "Please, I'm looking for the church"
"Avez-vous un sandwich au jambon", "Do you have a ham sandwich"
"Avez-vous une chambre pour deux personnes", "Do you have a room for two people"
"A quelle heure est-ce que cela ferme", "What time does that shut"
"Combien ça coûte?", "How much is it"
"Ou sont les toilettes, s'il vous plaît", "Where are the toilets, please"
"Ou est-ce qu'on peut trouver des restaurants, s'il vous plaît", "Where can we find some restaurants, please"
"Un café et un café au lait, s'il vous plaît", "A black coffee, and a white coffee, please"
"L'addition, s'il vous plaît", "The bill, please"
"A l'aeroport, s'il vous plaît" , "To the airport, please"
"Une table pour quatre personnes" , "One table for four people"
"Je ne me sens pas bien", "I don't feel well"
"Nous sommes perdus", "We are lost"
"Nous voulons aller à la catedrale", "We want to go to the cathedral"
"Je cherche un distributeur de billets", "I am looking for an ATM"
"Pouvez-vous m'appeler un taxi, s'il vous plaît", "Can you call me a taxi, please"  
"Nous sommes très pressés / en retard", "We are very late"
